scenario,S_B,n_boot,n_reps,delta_true,dev_frac,design,weighting,mu_B,delta_cal,delta_realized,sB_realized,p_meaningful,p_negligible,p_inconclusive,p_harm,p_meaningful_alt,p_negligible_alt,p_inconclusive_alt,p_harm_alt,mean_d_hat,sd_d_hat,mean_ci_width,cover95_nominal,cover95,mean_sensB,mean_sensE,mean_faB_eval,mean_faE_eval,p_faE_gt_1.5,p_degenerate_ci,mean_n_disc,n_events_eval,n_systems_eval,n_negyears_eval,n_systems_total,n_events_total
G_RAMv466+FishGlob+GPDD,0.45,400,400,0.15,0.6,cv5,system,0.6889801025390625,1.360382080078125,0.15800000000000003,0.44133333333333336,0.95,0.0,0.05,0.0,0.99,0.0,0.01,0.0,0.1569927536231884,0.038187928326487666,0.1359302536231884,0.92,0.925,0.44800724637681155,0.605,0.9951996572667493,0.9942663939171261,0.0,0.0,27.55,138.0,624.0,9372.85,624,138
G_RAMv466+FishGlob+GPDD,0.45,400,400,0.15,0.5,holdout,dataset,0.7539825439453125,1.536163330078125,0.18412351962082896,0.4079562627398352,0.7075,0.0425,0.25,0.0,0.8275,0.0425,0.13,0.0,0.1591969696969697,0.09046053557024197,0.2536608585858586,0.8275,0.75,0.4519040404040405,0.61110101010101,0.9960956191493259,0.993326170769723,0.0,0.0,14.7125,69.0,312.0,4655.085,624,138
G_RAMv466+FishGlob+GPDD,0.45,400,400,0.1,0.6,cv5,dataset,0.7539825439453125,1.171600341796875,0.13398874329142874,0.4079562627398352,0.6075,0.0675,0.325,0.0,0.8075,0.0675,0.125,0.0,0.12617315042315042,0.0627208017256742,0.20112985428610425,0.885,0.78,0.4375335790335791,0.5637067294567295,0.995267033731792,0.9941098158941958,0.0,0.0,25.0925,138.0,624.0,9372.85,624,138
Gns_RAMv466ns+FishGlob+GPDD,0.45,400,400,0.0,0.5,holdout,system,0.6768951416015625,0.019317626953125,-0.020999999999999963,0.4653333333333333,0.0175,0.5025,0.4675,0.0125,0.0275,0.5025,0.4575,0.0125,0.0010833333333333337,0.04559631507875161,0.17074687499999996,0.9525,0.88,0.44337499999999996,0.4444583333333334,1.0014396311821934,1.00170162208421,0.0,0.0,7.65,60.0,259.0,4220.1125,516,119
Gns_RAMv466ns+FishGlob+GPDD,0.45,400,400,0.0,0.5,holdout,dataset,0.7602081298828125,0.039093017578125,-0.0002667794388363509,0.4522038023978516,0.0125,0.54,0.41,0.0375,0.0325,0.54,0.39,0.0375,-0.0021574440052700974,0.07113552592411411,0.19665159749670613,0.9175,0.885,0.4377404479578393,0.4355830039525692,1.0024833343607527,1.0024118435516567,0.0,0.0,7.8875,60.0,259.0,4220.1125,516,119
Gns_RAMv466ns+FishGlob+GPDD,0.45,400,400,0.0,0.6,cv5,system,0.6768951416015625,0.019317626953125,-0.020999999999999963,0.4653333333333333,0.0,0.85,0.1125,0.0375,0.015,0.85,0.0975,0.0375,-0.0034243697478991584,0.03221149555224221,0.12444485294117642,0.9475,0.8875,0.44840336134453784,0.44497899159663873,0.9951800175523924,0.9950797936458904,0.0,0.0,15.2225,119.0,516.0,8459.365,516,119
G_RAMv466+FishGlob+GPDD,0.45,400,400,0.15,0.6,cv5,dataset,0.7539825439453125,1.536163330078125,0.18412351962082896,0.4079562627398352,0.78,0.01,0.21,0.0,0.9025,0.01,0.0875,0.0,0.1663787878787879,0.06768638911926338,0.2192140441577941,0.87,0.7625,0.4375335790335791,0.6039123669123669,0.995267033731792,0.9942585622890762,0.0,0.0,29.5875,138.0,624.0,9372.85,624,138
Gns_RAMv466ns+FishGlob+GPDD,0.45,400,400,0.05,0.5,holdout,system,0.6768951416015625,0.404937744140625,0.03400000000000003,0.4653333333333333,0.145,0.2275,0.6275,0.0,0.17,0.2275,0.6025,0.0,0.04729166666666667,0.048382623298657716,0.17568645833333327,0.92,0.93,0.44337499999999996,0.4906666666666667,1.0014396311821934,1.0022725630850309,0.0,0.0,8.1525,60.0,259.0,4220.1125,516,119
Gns_RAMv466ns+FishGlob+GPDD,0.45,400,400,0.05,0.5,holdout,dataset,0.7602081298828125,0.520477294921875,0.06667410341407759,0.4522038023978516,0.1225,0.28,0.5975,0.0,0.2425,0.28,0.4775,0.0,0.05180390865173473,0.07155008158011793,0.2048690025252525,0.85,0.78,0.4377404479578393,0.489544356609574,1.0024833343607527,1.0025078696080973,0.0,0.0,8.5,60.0,259.0,4220.1125,516,119
Gns_RAMv466ns+FishGlob+GPDD,0.45,400,400,0.0,0.6,cv5,dataset,0.7602081298828125,0.039093017578125,-0.0002667794388363509,0.4522038023978516,0.0125,0.7025,0.2175,0.0675,0.0225,0.7025,0.2075,0.0675,-0.007795619235836627,0.05457876783291081,0.16750004528985504,0.895,0.8775,0.4477928194993412,0.43999720026350464,0.9951177098338999,0.9951228703438062,0.0,0.0,15.7275,119.0,516.0,8459.365,516,119
Gns_RAMv466ns+FishGlob+GPDD,0.45,400,400,0.05,0.6,cv5,system,0.6768951416015625,0.404937744140625,0.03400000000000003,0.4653333333333333,0.065,0.345,0.59,0.0,0.2575,0.345,0.3975,0.0,0.04550420168067227,0.03333616495168442,0.12754674369747895,0.9425,0.945,0.44840336134453784,0.4939075630252101,0.9951800175523924,0.9948258236841907,0.0,0.0,16.17,119.0,516.0,8459.365,516,119
Gns_RAMv466ns+FishGlob+GPDD,0.45,400,400,0.1,0.5,holdout,system,0.6768951416015625,0.845123291015625,0.09466666666666673,0.4653333333333333,0.4675,0.0425,0.49,0.0,0.5275,0.0425,0.43,0.0,0.10083333333333334,0.05245968867835057,0.1888364583333333,0.9125,0.9225,0.44337499999999996,0.5442083333333333,1.0014396311821934,1.002640430436452,0.0,0.0,9.65,60.0,259.0,4220.1125,516,119
Gns_RAMv466ns+FishGlob+GPDD,0.45,400,400,0.1,0.6,cv5,system,0.6768951416015625,0.845123291015625,0.09466666666666673,0.4653333333333333,0.5325,0.0275,0.44,0.0,0.82,0.0275,0.1525,0.0,0.10010504201680671,0.0346196809675536,0.1337363445378151,0.9375,0.9375,0.44840336134453784,0.5485084033613444,0.9951800175523924,0.9950355052048115,0.0,0.0,18.8675,119.0,516.0,8459.365,516,119
Gns_RAMv466ns+FishGlob+GPDD,0.45,400,400,0.1,0.5,holdout,dataset,0.7602081298828125,0.928802490234375,0.11129610482779956,0.4522038023978516,0.38,0.1425,0.4775,0.0,0.5725,0.1425,0.285,0.0,0.10131532718489239,0.0780742235322345,0.22150935990338158,0.8325,0.82,0.4377404479578393,0.5390557751427316,1.0024833343607527,1.0023314140617077,0.0,0.0,9.9625,60.0,259.0,4220.1125,516,119
Gns_RAMv466ns+FishGlob+GPDD,0.45,400,400,0.05,0.6,cv5,dataset,0.7602081298828125,0.520477294921875,0.06667410341407759,0.4522038023978516,0.155,0.4375,0.405,0.0025,0.3125,0.4375,0.2475,0.0025,0.05034535573122529,0.06170222164440897,0.17463578310276673,0.845,0.7725,0.4477928194993412,0.4981381752305666,0.9951177098338999,0.9952243978404076,0.0,0.0,16.8225,119.0,516.0,8459.365,516,119
Gns_RAMv466ns+FishGlob+GPDD,0.45,400,400,0.15,0.5,holdout,system,0.6768951416015625,1.234954833984375,0.14566666666666667,0.4653333333333333,0.76,0.0,0.24,0.0,0.8,0.0,0.2,0.0,0.146375,0.054739691201315444,0.19884583333333328,0.92,0.92,0.44337499999999996,0.58975,1.0014396311821934,1.002182058075606,0.0,0.0,11.4925,60.0,259.0,4220.1125,516,119
Gns_RAMv466ns+FishGlob+GPDD,0.45,400,400,0.15,0.6,cv5,system,0.6768951416015625,1.234954833984375,0.14566666666666667,0.4653333333333333,0.9225,0.0,0.0775,0.0,0.9825,0.0,0.0175,0.0,0.14596638655462185,0.0369905823353923,0.14268172268907559,0.9275,0.9275,0.44840336134453784,0.5943697478991596,0.9951800175523924,0.9952189153374543,0.0,0.0,22.565,119.0,516.0,8459.365,516,119
Gns_RAMv466ns+FishGlob+GPDD,0.45,400,400,0.15,0.5,holdout,dataset,0.7602081298828125,1.330718994140625,0.15720682797008806,0.4522038023978516,0.64,0.0475,0.3125,0.0,0.8125,0.0475,0.14,0.0,0.14912384716732544,0.08341753284952926,0.25187121212121205,0.8275,0.8225,0.4377404479578393,0.5868642951251646,1.0024833343607527,1.002244420227544,0.0,0.0,12.0475,60.0,259.0,4220.1125,516,119
Gns_RAMv466ns+FishGlob+GPDD,0.45,400,400,0.1,0.6,cv5,dataset,0.7602081298828125,0.928802490234375,0.11129610482779956,0.4522038023978516,0.42,0.165,0.415,0.0,0.6825,0.165,0.1525,0.0,0.09675971673254281,0.06533816407260724,0.1877579792490118,0.81,0.7725,0.4477928194993412,0.544552536231884,0.9951177098338999,0.9952544023076649,0.0,0.0,19.4475,119.0,516.0,8459.365,516,119
H_G+LPD_projection,0.45,400,400,0.0,0.5,holdout,system,0.7352142333984375,0.020599365234375,-0.007999999999999952,0.472,0.0,0.7475,0.21,0.0425,0.015,0.7475,0.195,0.0425,-0.007705882352941178,0.038370924910924795,0.1454022058823529,0.94,0.9175,0.470764705882353,0.4630588235294118,0.9962508537856181,0.9930751972592529,0.0,0.0,10.935,85.0,512.0,6977.875,1024,170
Gns_RAMv466ns+FishGlob+GPDD,0.45,400,400,0.15,0.6,cv5,dataset,0.7602081298828125,1.330718994140625,0.15720682797008806,0.4522038023978516,0.6875,0.0575,0.255,0.0,0.845,0.0575,0.0975,0.0,0.1439145256916996,0.0740545096449293,0.20982258728590245,0.765,0.7525,0.4477928194993412,0.5917073451910408,0.9951177098338999,0.9953308357136136,0.0,0.0,23.335,119.0,516.0,8459.365,516,119
H_G+LPD_projection,0.45,400,400,0.0,0.5,holdout,dataset,0.7492218017578125,0.127716064453125,-0.010077914193212967,0.46951773315313916,0.02,0.635,0.2975,0.0475,0.06,0.635,0.2575,0.0475,0.0007393465909090884,0.05941034553916722,0.16788573035037874,0.885,0.8625,0.45317542613636363,0.4539147727272727,0.9960974019491374,0.9927006856101699,0.0,0.0,10.9725,85.0,512.0,6977.875,1024,170
H_G+LPD_projection,0.45,400,400,0.0,0.6,cv5,system,0.7352142333984375,0.020599365234375,-0.007999999999999952,0.472,0.0,0.9525,0.025,0.0225,0.0175,0.9525,0.0075,0.0225,-0.003411764705882353,0.027737140767953812,0.10358566176470585,0.9575,0.925,0.46502941176470586,0.46161764705882363,0.9944673591776705,0.9939992975070824,0.0,0.0,21.535,170.0,1024.0,13952.91,1024,170
H_G+LPD_projection,0.45,400,400,0.05,0.5,holdout,system,0.7352142333984375,0.383148193359375,0.035666666666666735,0.472,0.055,0.3925,0.55,0.0025,0.1275,0.3925,0.4775,0.0025,0.03708823529411765,0.039692068187360215,0.148335294117647,0.895,0.925,0.470764705882353,0.5078529411764705,0.9962508537856181,0.9928497080119476,0.0,0.0,11.3925,85.0,512.0,6977.875,1024,170
H_G+LPD_projection,0.45,400,400,0.05,0.5,holdout,dataset,0.7492218017578125,0.593719482421875,0.044211425914784,0.46951773315313916,0.155,0.34,0.5025,0.0025,0.3375,0.34,0.32,0.0025,0.05603101325757575,0.059961338991802414,0.17346426373106055,0.885,0.88,0.45317542613636363,0.5092064393939394,0.9960974019491374,0.9924176149706331,0.0,0.0,12.1125,85.0,512.0,6977.875,1024,170
H_G+LPD_projection,0.45,400,400,0.0,0.6,cv5,dataset,0.7492218017578125,0.127716064453125,-0.010077914193212967,0.46951773315313916,0.02,0.6925,0.2575,0.03,0.0775,0.6925,0.2,0.03,0.007567813907657659,0.045306527408332915,0.1439014045384162,0.8875,0.84,0.4467452427569615,0.45431305666461924,0.9943657966507451,0.9941005305360181,0.0,0.0,21.75,170.0,1024.0,13952.91,1024,170
H_G+LPD_projection,0.45,400,400,0.05,0.6,cv5,system,0.7352142333984375,0.383148193359375,0.035666666666666735,0.472,0.01,0.62,0.3675,0.0025,0.295,0.62,0.0825,0.0025,0.04,0.02736977521644142,0.10483823529411762,0.9125,0.9475,0.46502941176470586,0.5050294117647058,0.9944673591776705,0.9940721835378872,0.0,0.0,22.37,170.0,1024.0,13952.91,1024,170
