scenario,S_B,n_boot,n_reps,delta_true,dev_frac,design,weighting,mu_B,delta_cal,p_meaningful,p_negligible,p_inconclusive,p_harm,mean_d_hat,sd_d_hat,mean_ci_width,cover95,mean_sensB,mean_sensE,mean_faB_eval,mean_faE_eval,p_faE_gt_1.5,n_events_eval,n_systems_eval,n_negyears_eval,n_systems_total,n_events_total
C_RAMfull_x3_only,0.45,400,500,0.0,0.7,holdout,system,0.6265869140625,0.202880859375,0.05,0.288,0.648,0.014,0.022051282051282046,0.06030528800943732,0.22363710228693073,0.936,0.43743589743589745,0.4594871794871795,0.9951316464969914,0.9942702240833537,0.0,39.0,153.0,2605.282,510,129
B_fisheries_proxy_only,0.45,400,500,0.2,0.6,cv5,system,0.6265869140625,1.726318359375,0.816,0.0,0.184,0.0,0.1983255813953488,0.07149837366480621,0.2637426901665027,0.92,0.4436744186046511,0.642,0.998148885638534,0.9985572127668755,0.0,43.0,170.0,2912.226,170,43
C_RAMfull_x3_only,0.45,400,500,0.05,0.5,holdout,system,0.6265869140625,0.577880859375,0.21,0.152,0.638,0.0,0.06569230769230767,0.0498948866065264,0.18033801349240047,0.908,0.43956923076923077,0.5052615384615384,0.9902730967715936,0.9902078381765146,0.0,65.0,256.0,4390.8,510,129
C_RAMfull_x3_only,0.45,400,500,0.05,0.7,holdout,system,0.6265869140625,0.577880859375,0.188,0.086,0.724,0.002,0.07046153846153845,0.06149571164685648,0.23329366793407055,0.928,0.43743589743589745,0.507897435897436,0.9951316464969914,0.9945174240751462,0.0,39.0,153.0,2605.282,510,129
C_RAMfull_x3_only,0.45,400,500,0.1,0.5,holdout,system,0.6265869140625,0.952880859375,0.534,0.018,0.448,0.0,0.11283076923076922,0.05330820715441835,0.19114216558291025,0.922,0.43956923076923077,0.5524000000000001,0.9902730967715936,0.9901923646907359,0.0,65.0,256.0,4390.8,510,129
C_RAMfull_x3_only,0.45,400,500,0.0,0.6,cv5,system,0.6265869140625,0.202880859375,0.016,0.692,0.288,0.004,0.017751937984496122,0.034752635870117315,0.12457752164210774,0.916,0.44322480620155036,0.46097674418604645,0.9955892278485978,0.9946595350670803,0.0,129.0,510.0,8693.178,510,129
C_RAMfull_x3_only,0.45,400,500,0.1,0.7,holdout,system,0.6265869140625,0.952880859375,0.418,0.028,0.554,0.0,0.11548717948717949,0.06538707878697816,0.2466378878604898,0.936,0.43743589743589745,0.5529230769230769,0.9951316464969914,0.9945239210149432,0.0,39.0,153.0,2605.282,510,129
C_RAMfull_x3_only,0.45,400,500,0.05,0.6,cv5,system,0.6265869140625,0.577880859375,0.156,0.21,0.632,0.002,0.06465116279069767,0.03449045505545806,0.12820062643083888,0.912,0.44322480620155036,0.5078759689922481,0.9955892278485978,0.9949523072603991,0.0,129.0,510.0,8693.178,510,129
C_RAMfull_x3_only,0.45,400,500,0.15,0.5,holdout,system,0.6265869140625,1.351318359375,0.84,0.0,0.16,0.0,0.16255384615384613,0.05814940242050396,0.2048101674146514,0.926,0.43956923076923077,0.602123076923077,0.9902730967715936,0.9899531698733838,0.0,65.0,256.0,4390.8,510,129
C_RAMfull_x3_only,0.45,400,500,0.15,0.7,holdout,system,0.6265869140625,1.351318359375,0.644,0.002,0.354,0.0,0.16307692307692306,0.06820972177616139,0.2629687588021302,0.938,0.43743589743589745,0.6005128205128205,0.9951316464969914,0.9943207390661788,0.0,39.0,153.0,2605.282,510,129
C_RAMfull_x3_only,0.45,400,500,0.1,0.6,cv5,system,0.6265869140625,0.952880859375,0.668,0.018,0.314,0.0,0.11184496124031007,0.03609121870128675,0.13561712699095127,0.918,0.44322480620155036,0.5550697674418604,0.9955892278485978,0.9950370962507092,0.0,129.0,510.0,8693.178,510,129
C_RAMfull_x3_only,0.45,400,500,0.2,0.5,holdout,system,0.6265869140625,1.726318359375,0.958,0.0,0.042,0.0,0.20544615384615383,0.06148580296713142,0.21550984664991227,0.924,0.43956923076923077,0.6450153846153847,0.9902730967715936,0.9900710422934949,0.0,65.0,256.0,4390.8,510,129
C_RAMfull_x3_only,0.45,400,500,0.2,0.7,holdout,system,0.6265869140625,1.726318359375,0.828,0.0,0.172,0.0,0.20702564102564103,0.07303304800287606,0.27845637642333043,0.938,0.43743589743589745,0.6444615384615383,0.9951316464969914,0.9938731124903848,0.0,39.0,153.0,2605.282,510,129
C_RAMfull_x3_only,0.45,400,500,0.15,0.6,cv5,system,0.6265869140625,1.351318359375,0.954,0.0,0.046,0.0,0.15976744186046513,0.03774909389769702,0.14414886804158933,0.934,0.44322480620155036,0.6029922480620155,0.9955892278485978,0.9946201892311077,0.0,129.0,510.0,8693.178,510,129
D_RAMfull_x3+FishGlob+GPDD,0.45,400,500,0.0,0.5,holdout,system,0.6661376953125,0.072509765625,0.006,0.692,0.274,0.028,0.0033707865168539314,0.03882812447879727,0.14486897298613138,0.942,0.4374831460674158,0.4408539325842697,1.0024941477466012,1.0013551725020235,0.0,89.0,383.0,5007.476,761,175
D_RAMfull_x3+FishGlob+GPDD,0.45,400,500,0.0,0.7,holdout,system,0.6661376953125,0.072509765625,0.014,0.542,0.422,0.022,0.0020000000000000013,0.04799856416804789,0.18313566705280948,0.952,0.434,0.436,0.9942493233061086,0.9974234161048109,0.0,52.0,228.0,3017.578,761,175
C_RAMfull_x3_only,0.45,400,500,0.2,0.6,cv5,system,0.6265869140625,1.726318359375,1.0,0.0,0.0,0.0,0.20190697674418603,0.03892856284664416,0.1524407360115774,0.944,0.44322480620155036,0.6451317829457364,0.9955892278485978,0.995250812215811,0.0,129.0,510.0,8693.178,510,129
D_RAMfull_x3+FishGlob+GPDD,0.45,400,500,0.05,0.5,holdout,system,0.6661376953125,0.750732421875,0.352,0.1,0.548,0.0,0.08204494382022472,0.04011139105798721,0.153903281767263,0.848,0.4374831460674158,0.5195280898876404,1.0024941477466012,1.001592673598639,0.0,89.0,383.0,5007.476,761,175
D_RAMfull_x3+FishGlob+GPDD,0.45,400,500,0.05,0.7,holdout,system,0.6661376953125,0.750732421875,0.312,0.072,0.616,0.0,0.08488461538461539,0.052062712969545656,0.19816544649997184,0.886,0.434,0.5188846153846155,0.9942493233061086,0.9971017535617742,0.0,52.0,228.0,3017.578,761,175
D_RAMfull_x3+FishGlob+GPDD,0.45,400,500,0.0,0.6,cv5,system,0.6661376953125,0.072509765625,0.0,0.912,0.064,0.024,0.0021142857142857165,0.02892599915048238,0.10299622401668485,0.938,0.4370057142857143,0.43912,0.9950079662313968,0.9945806514647997,0.0,175.0,761.0,10025.166,761,175
D_RAMfull_x3+FishGlob+GPDD,0.45,400,500,0.1,0.5,holdout,system,0.6661376953125,0.916259765625,0.586,0.04,0.374,0.0,0.10265168539325842,0.041674667804714065,0.15812685237790633,0.932,0.4374831460674158,0.5401348314606742,1.0024941477466012,1.0017071571859457,0.0,89.0,383.0,5007.476,761,175
D_RAMfull_x3+FishGlob+GPDD,0.45,400,500,0.1,0.7,holdout,system,0.6661376953125,0.916259765625,0.432,0.034,0.534,0.0,0.10392307692307691,0.053308276111692546,0.20319058176156488,0.948,0.434,0.537923076923077,0.9942493233061086,0.9972366375416077,0.0,52.0,228.0,3017.578,761,175
